,Date,HomeTeam,AwayTeam,FTR,rainy
0,2012-03-31,Nurnberg,Bayern Munich,A,True
1,2011-12-11,Stuttgart,Bayern Munich,A,False
2,2011-08-13,Wolfsburg,Bayern Munich,A,False
3,2011-11-27,Mainz,Bayern Munich,H,False
4,2012-02-18,Freiburg,Bayern Munich,D,False
5,2012-01-20,M'gladbach,Bayern Munich,H,True
6,2012-02-04,Hamburg,Bayern Munich,D,False
7,2012-04-21,Werder Bremen,Bayern Munich,A,False
8,2011-09-18,Schalke 04,Bayern Munich,A,True
9,2011-10-23,Hannover,Bayern Munich,H,True
10,2011-10-01,Hoffenheim,Bayern Munich,D,False
11,2012-03-03,Leverkusen,Bayern Munich,H,False
12,2011-08-27,Kaiserslautern,Bayern Munich,A,True
13,2012-03-17,Hertha,Bayern Munich,A,False
14,2011-11-06,Augsburg,Bayern Munich,A,True
15,2012-05-05,FC Koln,Bayern Munich,A,True
16,2012-04-11,Dortmund,Bayern Munich,H,False
17,2011-08-27,Leverkusen,Dortmund,D,True
18,2011-12-17,Freiburg,Dortmund,A,True
19,2012-02-18,Hertha,Dortmund,A,False
20,2012-02-03,Nurnberg,Dortmund,A,False
21,2011-08-13,Hoffenheim,Dortmund,H,False
22,2011-10-29,Stuttgart,Dortmund,D,False
23,2012-01-22,Hamburg,Dortmund,A,True
24,2011-12-03,M'gladbach,Dortmund,D,True
25,2012-04-14,Schalke 04,Dortmund,A,False
26,2011-09-18,Hannover,Dortmund,H,True
27,2012-03-25,FC Koln,Dortmund,A,False
28,2012-03-10,Augsburg,Dortmund,D,False
29,2012-04-07,Wolfsburg,Dortmund,A,False
30,2011-11-19,Bayern Munich,Dortmund,A,False
31,2011-10-14,Werder Bremen,Dortmund,A,False
32,2011-09-24,Mainz,Dortmund,A,False
33,2012-04-28,Kaiserslautern,Dortmund,A,False
34,2011-12-18,Hansa Rostock,Dresden,D,True
35,2012-03-02,Bochum,Dresden,A,False
36,2012-03-16,Ein Frankfurt,Dresden,H,False
37,2012-02-17,Paderborn,Dresden,D,True
38,2011-08-06,Greuther Furth,Dresden,H,True
39,2011-11-04,Fortuna Dusseldorf,Dresden,H,False
40,2011-09-16,Ingolstadt,Dresden,H,False
41,2011-07-15,Cottbus,Dresden,H,False
42,2011-11-27,St Pauli,Dresden,H,False
43,2012-05-06,Frankfurt FSV,Dresden,D,True
44,2012-02-11,Union Berlin,Dresden,H,False
45,2011-10-02,Munich 1860,Dresden,A,False
46,2012-03-30,Aachen,Dresden,A,False
47,2012-04-11,Karlsruhe,Dresden,H,False
48,2011-10-22,Braunschweig,Dresden,A,False
49,2012-04-21,Erzgebirge Aue,Dresden,D,False
50,2011-08-26,Duisburg,Dresden,H,True
51,2011-08-07,Frankfurt FSV,Duisburg,D,True
52,2012-02-24,Dresden,Duisburg,H,True
53,2011-12-18,Cottbus,Duisburg,D,True
54,2011-07-17,Karlsruhe,Duisburg,H,True
55,2012-04-11,Munich 1860,Duisburg,H,False
56,2011-11-06,Aachen,Duisburg,D,True
57,2012-02-12,Hansa Rostock,Duisburg,H,False
58,2011-08-22,St Pauli,Duisburg,H,False
59,2011-10-23,Ein Frankfurt,Duisburg,H,True
60,2011-09-09,Greuther Furth,Duisburg,H,True
61,2012-04-01,Ingolstadt,Duisburg,D,False
62,2011-09-25,Bochum,Duisburg,H,False
63,2012-04-20,Braunschweig,Duisburg,D,False
64,2011-11-25,Erzgebirge Aue,Duisburg,A,True
65,2012-03-25,Paderborn,Duisburg,A,False
66,2012-05-06,Fortuna Dusseldorf,Duisburg,D,True
67,2012-03-09,Union Berlin,Duisburg,D,False
68,2011-11-07,Erzgebirge Aue,Ein Frankfurt,A,False
69,2011-09-10,Cottbus,Ein Frankfurt,D,True
70,2011-10-14,Bochum,Ein Frankfurt,A,False
71,2011-08-21,Frankfurt FSV,Ein Frankfurt,A,False
72,2011-09-26,Dresden,Ein Frankfurt,A,False
73,2012-04-07,Duisburg,Ein Frankfurt,H,False
74,2012-03-26,Union Berlin,Ein Frankfurt,A,False
75,2011-07-15,Greuther Furth,Ein Frankfurt,A,False
76,2012-05-06,Karlsruhe,Ein Frankfurt,H,True
77,2011-10-30,Ingolstadt,Ein Frankfurt,D,True
78,2012-02-13,Fortuna Dusseldorf,Ein Frankfurt,D,False
79,2011-08-07,Braunschweig,Ein Frankfurt,A,True
80,2012-02-26,Paderborn,Ein Frankfurt,H,False
81,2011-12-19,St Pauli,Ein Frankfurt,H,False
82,2012-03-11,Hansa Rostock,Ein Frankfurt,A,False
83,2011-11-26,Munich 1860,Ein Frankfurt,H,True
84,2012-04-23,Aachen,Ein Frankfurt,A,False
85,2011-12-03,Stuttgart,FC Koln,D,True
86,2011-12-16,Bayern Munich,FC Koln,H,True
87,2011-10-22,Dortmund,FC Koln,H,False
